,funding_rounds,funding_duration_days,total_investment,years_to_first_funding,country_code_encoded,market_encoded,status_encoded
0,1.0,0,1750000.0,0.07945205479452055,49,18,0
1,1.0,0,40000.0,-0.2136986301369863,16,19,2
2,1.0,0,1500000.0,0.0,19,19,2
3,2.0,40,60000.0,0.6246575342465753,49,19,2
5,1.0,0,40000.0,1.1342465753424658,9,6,2
6,1.0,0,1750000.0,27.183561643835617,49,14,2
7,2.0,646,4400000.0,0.0,19,7,2
8,4.0,923,2050000.0,8.465753424657533,49,6,2
9,1.0,0,40000.0,3.643835616438356,49,19,2
11,2.0,411,2535000.0,-0.4958904109589041,49,5,0
12,6.0,1801,4962651.0,1.7863013698630137,49,5,2
13,4.0,333,4059079.0,2.0712328767123287,18,19,2
14,3.0,1307,10000000.0,2.0,10,19,2
15,1.0,0,420000.0,0.3972602739726027,49,19,2
16,2.0,28,1250000.0,0.12876712328767123,49,1,0
17,1.0,0,35000000.0,10.189041095890412,49,23,2
18,1.0,0,50000.0,0.0,49,5,1
20,1.0,0,100000.0,1.0,2,19,2
21,1.0,0,3000000.0,0.852054794520548,49,2,2
22,1.0,0,77500.0,1.7780821917808218,49,23,2
23,1.0,0,20000000.0,2.5753424657534247,10,19,2
24,2.0,196,270000.0,0.2465753424657534,2,17,2
25,6.0,695,794000.0,0.33424657534246577,49,19,2
27,1.0,0,378812.0,1.2082191780821918,19,23,2
28,1.0,0,619494.0,1.4767123287671233,34,23,2
29,8.0,2086,66450000.0,1.2356164383561643,49,16,2
30,1.0,0,700000.0,2.4547945205479453,44,17,2
31,2.0,666,5500000.0,-0.5315068493150685,49,0,2
32,1.0,0,500000.0,0.33972602739726027,49,19,2
33,3.0,1005,3400000.0,0.6712328767123288,49,23,2
35,1.0,0,199957.0,3.4438356164383563,49,23,2
36,1.0,0,50000.0,0.04657534246575343,49,11,2
37,1.0,0,14000000.0,12.295890410958904,49,23,0
38,3.0,2239,84440319.0,4.002739726027397,10,24,2
39,3.0,2738,9478511.0,1.0,10,10,2
40,1.0,0,40000.0,-0.7945205479452054,14,7,2
42,1.0,0,50000.0,0.0,49,6,1
43,1.0,0,1450000.0,3.3068493150684932,49,23,2
46,1.0,0,30000000.0,11.224657534246575,49,14,2
47,1.0,0,500000.0,2.5945205479452054,49,22,2
48,2.0,28,156000.0,0.5260273972602739,13,19,2
49,1.0,0,30000.0,0.2191780821917808,49,16,2
50,4.0,813,117000000.0,10.843835616438357,49,6,2
51,1.0,0,750000.0,3.16986301369863,49,6,2
52,2.0,152,1500000.0,1.5863013698630137,49,8,2
53,1.0,0,1660000.0,7.720547945205479,18,11,2
54,1.0,0,150000.0,12.41095890410959,49,2,2
55,5.0,1079,41000000.0,2.5945205479452054,49,18,2
56,1.0,0,29750000.0,1.841095890410959,25,17,2
57,3.0,563,1236454.0,0.873972602739726,27,5,2
58,2.0,304,2800000.0,2.084931506849315,49,19,2
59,1.0,0,1464128.0,6.063013698630137,10,16,2
60,1.0,0,6369507.0,0.4575342465753425,24,6,2
61,1.0,0,5050000.0,0.8767123287671232,49,19,2
62,2.0,304,100000000.0,3.128767123287671,10,23,2
63,6.0,1360,15034750.0,12.997260273972604,49,2,2
64,1.0,0,250000.0,3.789041095890411,26,23,2
65,2.0,153,1610541.0,4.6657534246575345,10,23,2
66,1.0,0,615000.0,1.9424657534246574,43,17,2
67,6.0,2646,111949900.0,1.082191780821918,49,2,2
68,1.0,0,50000.0,0.2054794520547945,7,19,2
69,1.0,0,400000.0,6.7534246575342465,49,19,2
70,1.0,0,16000000.0,0.6219178082191781,49,3,2
71,1.0,0,50000.0,1.3917808219178083,49,23,1
72,1.0,0,4000000.0,6.8493150684931505,24,7,2
73,1.0,0,200000.0,0.6684931506849315,49,23,2
74,1.0,0,2000000.0,0.9178082191780822,10,23,2
75,1.0,0,118000.0,-0.18904109589041096,49,6,1
76,1.0,0,5844811.0,5.8273972602739725,49,23,2
77,3.0,1249,3000000.0,8.005479452054795,45,23,2
78,2.0,576,7000000.0,0.38904109589041097,42,17,2
79,1.0,0,6785876.0,2.649315068493151,7,23,2
80,2.0,923,383000.0,-0.2493150684931507,2,23,2
81,1.0,0,165000000.0,4.463013698630137,36,17,2
82,1.0,0,250000.0,1.9452054794520548,49,23,2
83,1.0,0,275000.0,2.271232876712329,49,23,2
84,2.0,459,966728.0,0.27123287671232876,4,5,2
85,1.0,0,85000000.0,7.123287671232877,49,23,0
86,4.0,1043,37644420.0,1.9287671232876713,49,19,2
87,1.0,0,58000.0,0.2958904109589041,49,19,2
88,1.0,0,6000.0,1.0,49,0,2
89,2.0,305,300000.0,3.252054794520548,2,19,2
90,6.0,1671,95875000.0,1.2301369863013698,49,23,2
91,1.0,0,80000.0,-0.6520547945205479,7,19,2
92,4.0,1442,78089000.0,2.361643835616438,49,2,2
93,1.0,0,25000.0,0.13424657534246576,49,19,2
94,1.0,0,500000.0,1.6465753424657534,49,10,2
95,1.0,0,2274716.0,1.6657534246575343,19,19,2
96,5.0,1259,25654560.0,1.4356164383561645,49,0,2
97,1.0,0,17800000.0,16.61917808219178,49,19,2
98,1.0,0,5000000.0,9.421917808219177,10,19,2
99,2.0,427,1000000.0,6.835616438356165,49,2,2
100,1.0,0,7650000.0,5.043835616438356,7,23,2
101,1.0,0,1543920.0,3.747945205479452,18,19,2
102,2.0,485,4100000.0,4.808219178082192,7,19,2
103,1.0,0,16000000.0,2.6931506849315068,49,19,2
104,2.0,213,73047.0,-0.030136986301369864,15,9,2
106,2.0,609,6700000.0,5.079452054794521,26,19,2
107,2.0,457,1573976.0,12.254794520547945,10,22,2
108,1.0,0,25000.0,0.2,49,19,2
109,1.0,0,1629549.0,1.1616438356164382,10,17,2
110,1.0,0,1600000.0,2.032876712328767,49,17,2
111,2.0,1074,1719583.0,0.0,8,19,2
112,1.0,0,75000.0,0.0,6,19,2
113,1.0,0,133620.0,3.0027397260273974,27,2,2
114,2.0,343,500000.0,0.0,49,19,1
115,2.0,414,5740000.0,8.04109589041096,49,19,2
116,1.0,0,1465000.0,3.0986301369863014,49,2,2
117,1.0,0,28000.0,0.6958904109589041,49,8,2
118,2.0,638,503000.0,0.4712328767123288,49,11,1
119,2.0,371,4500000.0,0.4054794520547945,34,19,2
120,2.0,365,1200000.0,1.1643835616438356,49,19,2
122,3.0,680,35000000.0,3.8465753424657536,49,19,2
123,3.0,916,909940.0,1.0547945205479452,49,23,2
124,3.0,271,169500000.0,28.057534246575344,49,23,2
125,1.0,0,150000.0,3.9232876712328766,49,12,2
126,1.0,0,400000.0,5.682191780821918,49,6,2
127,1.0,0,1250000.0,12.67945205479452,49,6,2
128,2.0,639,2670000.0,-0.2465753424657534,42,23,2
130,2.0,974,2065000.0,1.5013698630136987,24,17,2
131,1.0,0,750000.0,3.791780821917808,49,14,2
132,2.0,547,1700000.0,1.295890410958904,22,17,2
133,1.0,0,20000000.0,3.26027397260274,49,19,2
134,2.0,337,746185.0,0.6657534246575343,10,17,2
135,3.0,924,13708150.0,0.8,10,21,1
136,1.0,0,4000000.0,2.495890410958904,49,19,2
137,3.0,1360,65000000.0,0.5863013698630137,49,25,0
139,4.0,1224,25920000.0,3.4986301369863013,49,23,2
140,3.0,620,1011601.0,3.106849315068493,49,23,2
141,2.0,446,1500000.0,0.7205479452054795,10,5,2
142,1.0,0,1394250.0,3.871232876712329,18,17,2
143,2.0,1100,5000000.0,2.3863013698630136,15,19,2
144,3.0,685,390000.0,0.663013698630137,49,2,2
145,1.0,0,2000000.0,3.632876712328767,49,23,2
146,1.0,0,15152514.0,7.1726027397260275,19,3,2
147,1.0,0,1000000.0,1.0465753424657533,49,23,2
148,3.0,904,15000000.0,8.682191780821919,49,3,0
149,1.0,0,272000.0,4.331506849315068,25,23,1
150,1.0,0,25500000.0,9.169863013698631,25,19,2
151,6.0,2817,56567194.0,4.046575342465753,49,20,2
152,2.0,826,3393925.0,0.3041095890410959,49,19,2
153,1.0,0,1000.0,0.8383561643835616,37,19,2
154,5.0,756,2234979.0,2.249315068493151,49,6,2
156,1.0,0,81000.0,0.8054794520547945,49,19,2
157,3.0,791,1050000.0,0.18904109589041096,49,19,2
158,1.0,0,750000.0,1.5232876712328767,49,19,2
159,4.0,2165,38064570.0,2.350684931506849,49,20,0
160,2.0,449,800000.0,0.13972602739726028,49,8,2
161,1.0,0,1000000.0,6.457534246575342,49,23,2
162,4.0,518,17400000.0,0.6657534246575343,49,19,2
163,3.0,423,37956999.0,1.1205479452054794,49,2,2
164,1.0,0,450000.0,23.306849315068494,49,11,2
165,1.0,0,20900.0,8.76986301369863,49,3,2
166,1.0,0,3378975.0,6.947945205479452,49,17,2
167,6.0,1282,9416354.0,0.5808219178082191,49,19,0
168,8.0,3440,70288000.0,1.1643835616438356,49,0,2
170,4.0,3372,60000000.0,0.4575342465753425,49,12,2
172,1.0,0,50000.0,1.652054794520548,49,19,2
173,1.0,0,7000000.0,0.9698630136986301,49,2,2
174,4.0,889,1121081.0,1.0,19,0,2
175,1.0,0,762500.0,0.07671232876712329,6,19,2
176,1.0,0,385980.0,1.558904109589041,13,5,2
177,1.0,0,250000.0,6.536986301369863,49,23,2
178,2.0,285,440000.0,0.2410958904109589,49,23,2
180,1.0,0,180000.0,0.5808219178082191,49,19,2
181,6.0,1183,12900000.0,-0.04657534246575343,49,6,0
182,2.0,796,9325000.0,1.6712328767123288,7,19,2
183,3.0,426,27000000.0,1.3287671232876712,10,23,2
184,1.0,0,2928257.0,1.3287671232876712,10,19,2
185,3.0,1370,9300000.0,1.3315068493150686,10,6,2
186,1.0,0,389673.0,1.5835616438356164,10,13,2
187,2.0,1071,20000000.0,5.473972602739726,10,19,2
188,4.0,1057,65100000.0,0.915068493150685,10,7,2
189,2.0,852,1500000.0,0.6684931506849315,10,11,2
191,2.0,212,200000000.0,0.7150684931506849,10,6,2
192,2.0,183,30000000.0,2.1671232876712327,10,19,0
193,6.0,3068,876780000.0,1.084931506849315,10,23,2
194,1.0,0,5100000.0,3.4465753424657533,19,19,2
195,2.0,370,6100000.0,5.868493150684931,49,19,2
197,3.0,844,12800000.0,0.2465753424657534,49,19,0
198,1.0,0,15873.0,1.0027397260273974,19,22,2
199,1.0,0,50000.0,7.36986301369863,49,23,2
200,2.0,1098,3987693.0,-2.797260273972603,29,11,0
201,1.0,0,250000.0,0.1643835616438356,49,19,2
202,1.0,0,7000000.0,0.44931506849315067,49,17,2
203,1.0,0,3000000.0,5.53972602739726,49,19,2
204,4.0,511,17129760.0,0.4575342465753425,49,19,0
205,3.0,569,1300000.0,0.07671232876712329,19,10,0
206,1.0,0,100000.0,0.0,49,5,2
207,3.0,122,3050000.0,1.4657534246575343,49,23,2
