market,status,country_code,funding_rounds,founded_at,first_funding_at,last_funding_at,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,total_investment,years_to_first_funding
 Publishing ,operating,EST,1.0,2012-10-26,2012-08-09,2012-08-09,0,0,0,0,0,0,0,0,40000.0,-0.2136986301369863
 Curated Web ,acquired,USA,2.0,2010-07-01,2010-01-01,2011-02-16,1,0,0,0,0,0,0,0,2535000.0,-0.4958904109589041
 Advertising ,operating,USA,2.0,2010-01-11,2009-07-01,2011-04-28,1,1,0,0,0,0,0,0,5500000.0,-0.5315068493150685
 Education ,operating,DNK,1.0,2009-01-19,2008-04-04,2008-04-04,0,0,0,0,0,0,0,0,40000.0,-0.7945205479452054
 E-Commerce ,closed,USA,1.0,2012-07-25,2012-05-17,2012-05-17,0,0,0,0,0,0,0,0,118000.0,-0.18904109589041096
 Software ,operating,AUS,2.0,2010-07-01,2010-04-01,2012-10-10,0,0,0,0,0,0,0,0,383000.0,-0.2493150684931507
 Navigation ,operating,CAN,1.0,2012-01-25,2011-06-01,2011-06-01,0,0,0,0,0,0,0,0,80000.0,-0.6520547945205479
 Fashion ,operating,ESP,2.0,2011-12-12,2011-12-01,2012-07-01,0,0,0,0,0,0,0,0,73047.0,-0.030136986301369864
 Software ,operating,RUS,2.0,2011-04-01,2011-01-01,2012-10-01,0,0,0,0,0,0,0,0,2670000.0,-0.2465753424657534
 E-Commerce ,acquired,USA,6.0,2010-01-01,2009-12-15,2013-03-12,1,1,0,0,0,0,0,0,12900000.0,-0.04657534246575343
 Games ,acquired,KOR,2.0,2013-06-18,2010-09-01,2013-09-03,0,0,0,0,0,0,0,0,3987693.0,-2.797260273972603
 Personal Finance ,operating,HKG,3.0,2012-05-21,2012-01-04,2014-08-02,1,1,0,0,0,0,0,0,18500000.0,-0.3780821917808219
 Software ,operating,IND,3.0,2011-02-14,2010-12-01,2013-07-22,0,0,0,0,0,0,0,0,210000.0,-0.2054794520547945
 E-Commerce ,operating,CHN,2.0,2005-03-01,2005-01-01,2008-01-01,1,0,0,0,0,0,0,0,9600000.0,-0.16164383561643836
 Search ,acquired,USA,2.0,2007-07-01,2007-01-01,2008-10-01,1,0,0,0,0,0,0,0,6000000.0,-0.4958904109589041
 Biotechnology ,operating,CAN,3.0,2011-01-01,2010-11-03,2014-04-07,0,0,0,0,0,0,0,0,400988.0,-0.16164383561643836
 Advertising ,closed,IND,1.0,2007-12-05,2007-01-05,2007-01-05,0,0,0,0,0,0,0,0,25000.0,-0.915068493150685
 Identity Management ,operating,USA,3.0,2013-02-05,2009-12-22,2014-06-10,1,1,0,0,0,0,0,0,17087500.0,-3.126027397260274
 Social Media ,operating,USA,4.0,2008-09-01,2007-11-02,2013-09-26,1,1,0,0,0,0,0,0,17800000.0,-0.8328767123287671
 Finance ,closed,USA,7.0,2008-08-01,2008-01-01,2009-12-04,0,0,0,0,0,0,0,0,457282.0,-0.5835616438356165
 Advertising ,operating,ISR,1.0,2007-03-01,1994-07-09,1994-07-09,0,0,0,0,0,0,0,0,400000.0,-12.652054794520549
 Mobile ,acquired,USA,3.0,2005-11-01,2005-01-01,2008-01-23,1,1,0,0,0,0,0,0,17600000.0,-0.8328767123287671
 Advertising ,operating,USA,4.0,2009-01-01,2006-02-20,2013-02-21,1,1,0,0,0,0,0,0,44115160.0,-2.8657534246575342
 Social Media ,closed,CAN,2.0,2010-12-01,2010-01-01,2011-04-15,0,0,0,0,0,0,0,0,54493.0,-0.915068493150685
 E-Commerce ,operating,USA,1.0,2009-08-01,2009-01-01,2009-01-01,0,0,0,0,0,0,0,0,1170000.0,-0.5808219178082191
 Data Visualization ,operating,USA,1.0,2014-04-01,2013-08-23,2013-08-23,0,0,0,0,0,0,0,0,200000.0,-0.6054794520547945
 Medical Devices ,operating,USA,2.0,2011-10-01,2011-07-19,2014-07-09,1,0,0,0,0,0,0,0,2350000.0,-0.20273972602739726
 Classifieds ,closed,IND,1.0,2007-09-01,2007-07-01,2007-07-01,0,0,0,0,0,0,0,0,10000.0,-0.16986301369863013
 Advertising ,acquired,USA,2.0,2006-08-08,2006-08-01,2007-04-18,1,1,0,0,0,0,0,0,27000000.0,-0.019178082191780823
 Mobile ,operating,USA,3.0,2012-04-03,2012-04-01,2014-09-08,0,1,1,0,0,0,0,0,11900000.0,-0.005479452054794521
 Publishing ,operating,TUR,1.0,2012-08-24,2011-05-01,2011-05-01,0,0,0,0,0,0,0,0,600000.0,-1.3178082191780822
 RIM ,operating,USA,1.0,2006-02-03,2006-01-11,2006-01-11,0,0,0,0,0,0,0,0,2300000.0,-0.06301369863013699
 Databases ,operating,ISL,1.0,2011-01-01,2010-09-06,2010-09-06,0,0,0,0,0,0,0,0,19311.0,-0.32054794520547947
 Advertising ,acquired,USA,4.0,2006-12-01,2006-09-01,2009-01-29,1,1,1,0,0,0,0,0,46800000.0,-0.2493150684931507
 Mobile Advertising ,operating,SGP,3.0,2012-11-01,2009-10-30,2014-10-15,1,1,0,0,0,0,0,0,25500000.0,-3.0082191780821916
 Social Media ,operating,USA,1.0,2008-05-27,2008-01-01,2008-01-01,0,0,0,0,0,0,0,0,500000.0,-0.40273972602739727
 Advertising ,operating,USA,4.0,2007-03-01,2006-03-01,2014-04-18,1,1,1,0,0,0,0,0,89000000.0,-1.0
 Search ,closed,USA,1.0,2013-04-16,2004-04-01,2004-04-01,0,0,0,0,0,0,0,0,100000.0,-9.046575342465754
 Clean Technology ,closed,USA,1.0,2009-01-01,2008-03-18,2008-03-18,1,0,0,0,0,0,0,0,13000000.0,-0.7917808219178082
 Manufacturing ,operating,USA,2.0,2009-12-21,2008-03-20,2012-05-16,0,0,0,0,0,0,0,0,335000.0,-1.7561643835616438
 Advice ,operating,CHL,1.0,2014-01-15,2013-05-01,2013-05-01,0,0,0,0,0,0,0,0,100000.0,-0.7095890410958904
 Finance Technology ,operating,FRA,1.0,2011-11-01,2008-01-01,2008-01-01,0,0,0,0,0,0,0,0,736050.0,-3.835616438356164
 Marketplaces ,operating,USA,1.0,2011-09-17,2011-01-01,2011-01-01,0,0,0,0,0,0,0,0,250000.0,-0.7095890410958904
 Software ,operating,USA,3.0,2011-10-01,2011-08-15,2013-04-01,0,0,0,0,0,0,0,0,2725000.0,-0.12876712328767123
 Curated Web ,operating,USA,4.0,2012-02-01,2011-04-15,2014-01-07,1,1,1,0,0,0,0,0,97000000.0,-0.8
 Advertising ,acquired,IND,2.0,2006-01-01,1999-10-01,2002-01-01,0,0,0,0,0,0,0,0,85000000.0,-6.257534246575342
 Blogging Platforms ,operating,CAN,2.0,2009-07-01,2009-06-01,2010-12-20,1,0,0,0,0,0,0,0,1073288.0,-0.0821917808219178
 Public Relations ,operating,USA,1.0,2009-05-01,2009-01-01,2009-01-01,0,0,0,0,0,0,0,0,10000.0,-0.3287671232876712
 Startups ,operating,USA,3.0,2014-01-01,2013-01-01,2014-03-01,0,0,0,0,0,0,0,0,100000.0,-1.0
 Education ,operating,CHL,2.0,2012-03-01,2011-07-25,2012-11-01,0,0,0,0,0,0,0,0,92003.0,-0.6027397260273972
 Advertising ,acquired,USA,8.0,2006-03-01,2005-01-01,2013-04-01,1,1,1,1,1,0,0,0,74311925.0,-1.1616438356164382
 Semiconductors ,closed,GBR,1.0,2006-05-15,2006-04-11,2006-04-11,1,0,0,0,0,0,0,0,10000000.0,-0.09315068493150686
 Messaging ,operating,USA,4.0,2011-01-01,2010-09-13,2012-06-11,0,1,0,0,0,0,0,0,33458625.0,-0.3013698630136986
 Games ,operating,ESP,3.0,2011-07-15,2011-07-01,2014-05-25,1,0,0,0,0,0,0,0,5045650.0,-0.038356164383561646
 Personal Finance ,operating,POL,1.0,2014-06-10,2014-03-25,2014-03-25,0,0,0,0,0,0,0,0,75000.0,-0.21095890410958903
 SMS ,operating,IDN,1.0,2010-06-12,2010-06-08,2010-06-08,0,0,0,0,0,0,0,0,250000.0,-0.010958904109589041
 Clean Technology ,operating,NLD,4.0,2008-03-18,2006-09-01,2009-06-10,0,0,0,0,0,0,0,0,2444718.0,-1.5452054794520549
 Services ,operating,USA,2.0,2013-09-01,2013-03-01,2014-11-17,0,0,0,0,0,0,0,0,2000000.0,-0.5041095890410959
